smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CW;15;157.5;157.50;157.50;50;-0.34259988;0.60134990;23.80;0.040359;0.026541;-0.34480000;0.60519990;23.77;0.063247;-0.033584
CCW;16;337.5;-22.50;-180.00;50;-0.33295010;0.59999990;23.80;0.063335;-0.034041;-0.33250004;0.61850000;23.80;0.041406;0.026274
CW;17;0;0.00;22.50;50;-0.34419990;0.60800000;23.80;0.051868;-0.037263;-0.33834992;0.60709984;23.80;0.054304;0.028623
CW;18;45;45.00;45.00;50;-0.34780000;0.61424990;23.80;0.029272;-0.027546;-0.33125004;0.60690000;23.80;0.074954;0.018499
CW;19;202.5;202.50;157.50;50;-0.32499996;0.61729984;23.80;0.065471;0.026440;-0.32895002;0.61089990;23.80;0.039402;-0.033740
CW;20;202.5;202.50;0.00;50;-0.32544994;0.61149996;23.83;0.063953;0.025576;-0.33870004;0.60870000;23.81;0.039358;-0.033501
CCW;21;67.5;67.50;-135.00;50;-0.34305012;0.60994980;23.80;0.021013;-0.016431;-0.33995004;0.60774990;23.88;0.081252;0.008430
CW;22;157.5;157.50;90.00;50;-0.32194992;0.61495000;23.88;0.040605;0.026345;-0.33779984;0.61804990;23.87;0.065249;-0.033645
CCW;23;90;90.00;-67.50;50;-0.33660012;0.60950008;23.82;0.019563;-0.003596;-0.33900000;0.60684984;23.83;0.085127;-0.003958
CCW;24;22.5;22.50;-67.50;50;-0.34560004;0.61700010;23.86;0.037405;-0.034031;-0.32700008;0.62839990;23.90;0.067007;0.026013
CCW;25;337.5;-22.50;-45.00;50;-0.33379992;0.61729984;23.83;0.062991;-0.033984;-0.33729992;0.62205000;23.84;0.040344;0.026375
CCW;26;270;-90.00;-67.50;50;-0.33725000;0.62294980;23.80;0.081733;-0.004087;-0.33999980;0.62255000;23.82;0.018987;-0.003728
CCW;27;90;-270.00;-180.00;50;-0.33454992;0.63214990;23.85;0.017385;-0.004324;-0.32859992;0.60954990;23.86;0.083884;-0.003833
CCW;28;315;-45.00;-45.00;50;-0.33100006;0.60810000;23.83;0.075801;-0.027600;-0.33035000;0.63224990;23.80;0.031169;0.019509
CCW;29;180;-180.00;-135.00;50;-0.33585000;0.61725010;23.83;0.052417;0.028574;-0.33869988;0.60255000;23.80;0.051223;-0.037197
CCW;30;67.5;-292.50;-112.50;50;-0.34615000;0.63250008;23.80;0.021753;-0.016738;-0.32915004;0.61294984;23.78;0.081602;0.008379
CW;31;67.5;-292.50;0.00;50;-0.34035004;0.63165000;23.84;0.020215;-0.016409;-0.35070000;0.62574992;23.80;0.080730;0.008347
CCW;32;247.5;-112.50;-112.50;50;-0.32819998;0.61959992;23.82;0.081794;0.008413;-0.33905000;0.62005010;23.81;0.020686;-0.016697
CCW;33;135;-225.00;-112.50;50;-0.33094992;0.61620004;23.81;0.028188;0.019294;-0.32245004;0.61364984;23.87;0.075745;-0.027300
CW;34;270;-90.00;135.00;50;-0.33695008;0.61499990;23.87;0.085088;-0.003770;-0.34179990;0.61895008;23.86;0.020188;-0.003386
CW;35;315;-45.00;45.00;50;-0.35090000;0.61074996;23.83;0.074302;-0.027571;-0.33320004;0.62975010;23.84;0.029167;0.019141
CW;36;0;0.00;45.00;50;-0.34649996;0.61240000;23.85;0.050588;-0.036980;-0.33255002;0.61514990;23.85;0.053706;0.028997
CCW;37;337.5;-22.50;-22.50;50;-0.33869990;0.62914990;23.81;0.063591;-0.034280;-0.34239990;0.62624990;23.80;0.038516;0.026475
CW;38;67.5;67.50;90.00;50;-0.33490000;0.62194990;23.80;0.021577;-0.016179;-0.33330000;0.61974984;23.80;0.080820;0.008721
CCW;39;0;0.00;-67.50;50;-0.33550000;0.62340000;23.80;0.050068;-0.037197;-0.33840000;0.63025000;23.80;0.052085;0.028992
CCW;40;247.5;-112.50;-112.50;50;-0.33590004;0.62234990;23.80;0.080498;0.008464;-0.34104996;0.61745000;23.80;0.021589;-0.016436
CCW;41;90;-270.00;-157.50;50;-0.33700000;0.62565000;23.80;0.018008;-0.003828;-0.34385000;0.62554980;23.80;0.084221;-0.004248
CW;42;157.5;-202.50;67.50;50;-0.32930008;0.64144984;23.80;0.038872;0.025840;-0.34429988;0.63274990;23.80;0.063354;-0.034004
CCW;43;67.5;-292.50;-90.00;50;-0.34675000;0.62589984;23.76;0.020479;-0.016360;-0.33705000;0.62319990;23.80;0.081997;0.008804
CCW;44;315;-45.00;-45.00;50;-0.34435000;0.62934992;23.83;0.075225;-0.027268;-0.34069990;0.62000000;23.80;0.028928;0.019629
CCW;45;157.5;-202.50;-157.50;50;-0.32519996;0.62220000;23.80;0.037969;0.026423;-0.34400012;0.63150020;23.80;0.064871;-0.034026
CCW;46;22.5;-337.50;-135.00;50;-0.33969984;0.61635000;23.76;0.037549;-0.034456;-0.34149984;0.62610000;23.79;0.063745;0.026340
CCW;47;247.5;-112.50;-112.50;50;-0.34290000;0.62860008;23.80;0.082144;0.008467;-0.34700004;0.63639984;23.78;0.020667;-0.016638
CCW;48;157.5;-202.50;-90.00;50;-0.34454990;0.62364996;23.80;0.036304;0.025403;-0.34064996;0.63560004;23.80;0.063730;-0.034341
CCW;49;0;-360.00;-157.50;50;-0.34159996;0.63219990;23.80;0.049631;-0.037173;-0.33540000;0.63874990;23.80;0.050615;0.028538
