smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;axA;ayA;xC;yC;axC;ayC
CW;62;337.5;-22.50;157.50;50;-0.23969988;0.52509992;0.059863;-0.034045;-0.24164988;0.52275000;0.036111;0.023059
CW;63;22.5;22.50;45.00;50;-0.24089990;0.51959984;0.036125;-0.034221;-0.22869994;0.50629990;0.058721;0.023047
CW;64;247.5;-112.50;-135.00;50;-0.23024996;0.51909984;0.075518;0.006646;-0.23674984;0.52879996;0.019531;-0.017754
CW;65;157.5;-202.50;-90.00;50;-0.24094996;0.50724990;0.034673;0.022659;-0.23899992;0.50769996;0.059170;-0.033770
CW;66;0;-360.00;-157.50;50;-0.23649996;0.52009992;0.047632;-0.036555;-0.21530000;0.51904980;0.049414;0.026174
CW;67;180;-180.00;-180.00;50;-0.23544998;0.51574990;0.048770;0.024668;-0.23874992;0.51514984;0.047620;-0.036602
CW;68;247.5;-112.50;67.50;50;-0.23944998;0.50524990;0.075698;0.006667;-0.23849984;0.51609976;0.019880;-0.017551
CW;69;112.5;-247.50;-135.00;50;-0.22869998;0.52500010;0.018518;0.005488;-0.23669986;0.51714984;0.076213;-0.016672
CW;70;67.5;-292.50;-45.00;50;-0.24079996;0.50984968;0.019590;-0.017952;-0.23889990;0.51754990;0.076484;0.007119
CW;71;292.5;-67.50;-67.50;50;-0.23694996;0.51689980;0.076304;-0.016404;-0.23954998;0.51819990;0.019390;0.006194
CW;72;90;90.00;157.50;50;-0.23649994;0.51139984;0.017578;-0.006777;-0.24490000;0.50809976;0.079243;-0.004631
CW;73;225;225.00;135.00;50;-0.23785000;0.51614976;0.071016;0.016987;-0.23300000;0.52360004;0.026355;-0.027639
CW;74;202.5;202.50;-22.50;50;-0.24034996;0.52014992;0.059419;0.023428;-0.25340012;0.51109976;0.036506;-0.033994
CW;75;315;315.00;112.50;50;-0.25164996;0.50720000;0.070217;-0.026482;-0.22345004;0.51564980;0.024480;0.016982
CW;76;45;45.00;45.00;50;-0.23764998;0.52274996;0.027632;-0.028047;-0.23359992;0.51144976;0.071484;0.016265
CW;77;337.5;-22.50;-67.50;50;-0.25004998;0.52064984;0.059307;-0.033853;-0.24139990;0.52084992;0.035105;0.022473
CW;78;135;135.00;157.50;50;-0.23229998;0.52735008;0.024160;0.016226;-0.23554990;0.51074992;0.071631;-0.026729
CW;79;22.5;22.50;-112.50;50;-0.24404994;0.51449984;0.035991;-0.034207;-0.24340002;0.51759980;0.058440;0.023359
CW;80;270;-90.00;-112.50;50;-0.24019996;0.52064990;0.077866;-0.004734;-0.23265000;0.51054990;0.016978;-0.006201
CW;81;67.5;67.50;157.50;50;-0.23009998;0.51549984;0.019185;-0.017703;-0.23179988;0.50904996;0.075273;0.006719
CW;82;180;180.00;112.50;50;-0.21660000;0.52389984;0.054045;0.025117;-0.22980000;0.51894970;0.049844;-0.035920
CW;83;45;45.00;-135.00;50;-0.24055006;0.52114992;0.022532;-0.027217;-0.23269994;0.50580000;0.068596;0.016904
CW;84;225;-135.00;-180.00;50;-0.23089996;0.50319992;0.067300;0.016572;-0.24369996;0.51659990;0.026416;-0.027556
CW;85;90;-270.00;-135.00;50;-0.23579994;0.51494990;0.018013;-0.006233;-0.23929996;0.50144992;0.077656;-0.004907
CW;86;315;-45.00;-45.00;50;-0.24985002;0.52145000;0.067952;-0.026450;-0.23310000;0.52645000;0.029150;0.016162
CW;87;0;0.00;45.00;50;-0.23664992;0.51209984;0.046699;-0.036453;-0.23189992;0.50509990;0.043796;0.025874
CW;88;112.5;112.50;112.50;50;-0.23499992;0.51184980;0.018264;0.005947;-0.24590000;0.50744980;0.076252;-0.015957
CW;89;337.5;-22.50;-135.00;50;-0.23954984;0.51449970;0.059512;-0.034036;-0.23924984;0.50579990;0.035286;0.023127
CW;90;135;135.00;157.50;50;-0.23769990;0.53139996;0.027000;0.015759;-0.25280002;0.50305010;0.070249;-0.026670
CW;91;292.5;292.50;157.50;50;-0.23814996;0.51489984;0.076062;-0.016697;-0.23494998;0.51884980;0.019158;0.006465
CW;92;270;270.00;-22.50;50;-0.22554990;0.50324992;0.078513;-0.004873;-0.24289996;0.52149990;0.018643;-0.005732
CW;93;247.5;247.50;-22.50;50;-0.23549988;0.51049980;0.075139;0.006750;-0.24514990;0.51769990;0.019077;-0.017422
CW;94;157.5;157.50;-90.00;50;-0.23504990;0.51854980;0.035007;0.022888;-0.23789990;0.52060010;0.059495;-0.033601
CW;95;22.5;22.50;-135.00;50;-0.24640004;0.51749976;0.035862;-0.033892;-0.23334998;0.51664980;0.057920;0.023560
CW;96;202.5;-157.50;-180.00;50;-0.24209994;0.52445000;0.058064;0.023315;-0.23724992;0.52849996;0.035720;-0.033879
CW;97;67.5;-292.50;-135.00;50;-0.23545004;0.51074976;0.018669;-0.017583;-0.24284988;0.51754992;0.075300;0.007502
CW;98;22.5;-337.50;-45.00;50;-0.25965004;0.53665030;0.035981;-0.033264;-0.23844992;0.51764980;0.059268;0.023333
